species,rare,Naturalised,naturalized.hybrids,vetted,invasive,species.hybrids,genus.hybrids,tropical,subtropical,temperate,frigidzone,climate.sum,hermaphroditic,dioecious,monoecious,wind,animal,asexual,herbaceous,variable,woody,woodiness,fleshy.fruit,ln.shybrids,ln.ghybrids
69,1,3,0,2,1,1,0,1,1,1,0,3,0,1,1,0,1,0,1,0,0,1,0.5,0.693147181,0
67,18,0,0,21,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0
67,7,0,0,8,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0
63,0,0,0,0,0,0,0,1,1,0,0,2,0,1,1,0,1,1,1,0,0,1,0,0,0
61,0,0,0,0,0,0,0,0,1,1,0,2,1,1,1,0,1,0,0,0,1,1,0,0,0
60,14,3,0,33,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0
58,3,3,0,7,1,1,0,1,1,0,0,2,0,0,1,0,1,1,0,0,1,1,1,0.693147181,0
58,0,13,2,21,0,15,0,1,1,1,0,3,0,0,1,1,0,0,1,0,0,1,0,2.772588722,0
56,0,0,0,0,0,0,0,1,1,0,0,2,NA,NA,NA,0,1,0,0,0,1,1,NA,0,0
55,2,0,0,2,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0
52,0,4,0,4,1,0,0,0,1,1,1,3,0,1,1,1,0,0,1,0,0,1,0,0,0
51,2,5,0,7,0,36,0,1,1,1,0,3,1,0,0,0,1,0,1,0,0,1,0,3.610917913,0
48,12,0,0,14,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
47,2,0,0,4,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
47,1,0,0,3,0,0,0,1,1,0,0,2,NA,NA,NA,0,1,0,0,0,1,1,NA,0,0
46,2,0,0,2,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0
46,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0.5,0,0
45,13,0,0,17,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0.5,0,0
44,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0
42,0,1,0,1,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0
41,1,2,0,3,0,0,0,1,1,1,0,3,1,0,0,0,1,0,0,0,1,1,0,0,0
40,0,5,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0.5,0,0
40,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0
39,0,14,0,8,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0
39,0,0,0,0,0,0,0,1,1,0,0,2,1,0,1,0,1,0,1,0,0,1,0,0,0
37,2,0,0,2,0,0,0,1,1,1,0,3,1,0,1,0,1,0,1,0,0,1,0.5,0,0
37,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0
36,0,0,0,0,0,0,0,1,1,1,0,3,0,1,0,0,1,0,0,0,1,1,1,0,0
36,0,0,0,0,0,1,0,1,1,1,1,4,1,0,0,0,1,0,1,0,0,1,NA,0.693147181,0
36,11,2,0,37,0,7,0,1,1,1,0,3,0,0,0,0,1,0,0,0,1,1,NA,2.079441542,0
33,0,0,0,0,0,0,0,1,1,1,0,3,1,0,1,0,1,0,0,0,1,1,0,0,0
