"605","Actephila","Actephila_mearsii","Phyllanthaceae","mearsii","Phyllanthaceae","Malpighiales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","","","","","","Superrosidae","Rosidae","","Fabidae","","","","","",""
"610","Actinidia","Actinidia_latifolia","Actinidiaceae","latifolia","Actinidiaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"641","Actinodaphne","Actinodaphne_sesquipedalis","Lauraceae","sesquipedalis","Lauraceae","Laurales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","","","","","","","","","","","","Magnoliidae","","","","",""
"657","Actinoscirpus","Actinoscirpus_grossus","Cyperaceae","grossus","Cyperaceae","Poales","Spermatophyta","Angiospermae","Mesangiospermae","Monocotyledoneae","Nartheciidae","Petrosaviidae","Commelinidae","","","","","","","","","","","","","","","","",""
"700","Adenaria","Adenaria_floribunda","Lythraceae","floribunda","Lythraceae","Myrtales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","","","","","","Superrosidae","Rosidae","Malvidae","","","","","","",""
"701","Adenia","Adenia_ellenbeckii","Passifloraceae","ellenbeckii","Passifloraceae","Malpighiales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","","","","","","Superrosidae","Rosidae","","Fabidae","","","","","",""
"708","Adenocalymma","Adenocalymma_moringifolium","Bignoniaceae","moringifolium","Bignoniaceae","Lamiales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","Lamiidae","","","","","","","","","",""
"726","Adenogramma","Adenogramma_lichtensteiniana","Molluginaceae","lichtensteiniana","Molluginaceae","Caryophyllales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","","","","","","","","","","","","",""
"736","Adenophora","Adenophora_liliifolia","Campanulaceae","liliifolia","Campanulaceae","Asterales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"757","Adinandra","Adinandra_hainanensis","Pentaphylacaceae","hainanensis","Pentaphylacaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
"763","Adolphia","Adolphia_californica","Rhamnaceae","californica","Rhamnaceae","Rosales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","","","","","","Superrosidae","Rosidae","","Fabidae","","","","","",""
"769","Adoxa","Adoxa_moschatellina","Adoxaceae","moschatellina","Adoxaceae","Dipsacales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","Campanulidae","","","","","","","","","","",""
"808","Aegialitis","Aegialitis_annulata","Plumbaginaceae","annulata","Plumbaginaceae","Caryophyllales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","","","","","","","","","","","","",""
"810","Aegiceras","Aegiceras_corniculatum","Primulaceae","corniculatum","Primulaceae","Ericales","Spermatophyta","Angiospermae","Mesangiospermae","","","","","Eudicotyledoneae","Gunneridae","Superasteridae","Pentapetalae","Asteridae","","","","","","","","","","","",""
